"","Age","EstimatedSalary","Purchased","GenderBinary"
"93",26,15,0,0
"94",29,28,0,1
"95",29,83,0,1
"96",35,44,0,1
"97",35,25,0,1
"98",28,123,1,0
"99",35,73,0,0
"100",28,37,0,1
"101",27,88,0,0
"102",28,59,0,0
"103",32,86,0,1
"104",33,149,1,1
"105",19,21,0,1
"106",21,72,0,0
"107",26,35,0,1
"108",27,89,0,0
"109",26,86,0,0
"110",38,80,0,1
"111",39,71,0,1
"112",37,71,0,1
"113",38,61,0,0
"114",37,55,0,0
"115",42,80,0,0
"116",40,57,0,0
"117",35,75,0,0
"118",36,52,0,0
"119",40,59,0,0
"120",41,59,0,0
"121",36,75,0,1
"122",37,72,0,0
"123",40,75,0,1
"124",35,53,0,0
"125",41,51,0,1
"126",39,61,0,1
"127",42,65,0,0
"128",26,32,0,0
"129",30,17,0,0
"130",26,84,0,1
"131",31,58,0,0
"132",33,31,0,0
"133",30,87,0,0
"134",21,68,0,1
"135",28,55,0,1
"136",23,63,0,0
"137",20,82,0,1
"138",30,107,1,0
"139",28,59,0,1
"140",19,25,0,0
"141",19,85,0,0
"142",18,68,0,1
"143",35,59,0,0
"144",30,89,0,0
"145",34,25,0,1
"146",24,89,0,1
"147",27,96,1,1
"148",41,30,0,1
"149",29,61,0,0
"150",20,74,0,0
"151",26,15,0,1
"152",41,45,0,0
"153",31,76,0,0
"154",36,50,0,1
"155",40,47,0,0
"156",31,15,0,1
"157",46,59,0,0
"158",29,75,0,0
"159",26,30,0,0
"160",32,135,1,1
"161",32,100,1,0
"162",25,90,0,0
"163",37,33,0,1
"164",35,38,0,0
"165",33,69,0,1
"166",18,86,0,1
"167",22,55,0,1
"168",35,71,0,1
"169",29,148,1,0
"170",29,47,0,1
"171",21,88,0,0
"172",34,115,0,0
"173",26,118,0,1
"174",34,43,0,1
"175",34,72,0,1
"176",23,28,0,1
"177",35,47,0,1
"178",25,22,0,0
"179",24,23,0,0
"180",31,34,0,1
"181",26,16,0,0
"182",31,71,0,1
"183",32,117,1,1
"184",33,43,0,0
"185",33,60,0,1
"186",31,66,0,0
"187",20,82,0,1
"188",33,41,0,1
"189",35,72,0,0
"190",28,32,0,0
"191",24,84,0,0
"192",19,26,0,1
"193",29,43,0,0
"194",19,70,0,0
"195",28,89,0,0
"196",34,43,0,0
"197",30,79,0,1
"198",20,36,0,1
"199",26,80,0,0
"200",35,22,0,0
"201",35,39,0,0
"202",49,74,0,0
"203",39,134,1,1
"204",41,71,0,1
"205",58,101,1,1
"206",47,47,0,1
"207",55,130,1,1
"208",52,114,0,1
"209",40,142,1,1
"210",46,22,0,1
"211",48,96,1,1
"212",52,150,1,0
"213",59,42,0,1
"214",35,58,0,0
"215",47,43,0,0
"216",60,108,1,1
"217",49,65,0,0
"218",40,78,0,0
"219",46,96,0,1
"220",59,143,1,0
"221",41,80,0,1
"222",35,91,1,0
"223",37,144,1,0
"224",60,102,1,0
"225",35,60,0,1
"226",37,53,0,0
"227",36,126,1,1
"228",56,133,1,0
"229",40,72,0,1
"230",42,80,1,1
"231",35,147,1,1
"232",39,42,0,0
"233",40,107,1,0
"234",49,86,1,0
"235",38,112,0,1
"236",46,79,1,0
"237",40,57,0,0
"238",37,80,0,1
"239",46,82,0,1
"240",53,143,1,1
"241",42,149,1,0
"242",38,59,0,0
"243",50,88,1,1
"244",56,104,1,1
"245",41,72,0,1
"246",51,146,1,1
"247",35,50,0,1
"248",57,122,1,1
"249",41,52,0,0
"250",35,97,1,1
"251",44,39,0,1
"252",37,52,0,0
"253",48,134,1,1
"254",37,146,1,1
"255",50,44,0,1
"256",52,90,1,1
"257",41,72,0,1
"258",40,57,0,0
"259",58,95,1,1
"260",45,131,1,1
"261",35,77,0,1
"262",36,144,1,0
"263",55,125,1,1
"264",35,72,0,1
"265",48,90,1,0
"266",42,108,1,1
"267",40,75,0,0
"268",37,74,0,0
"269",47,144,1,1
"270",40,61,0,0
"271",43,133,0,1
"272",59,76,1,1
"273",60,42,1,0
"274",39,106,1,0
"275",57,26,1,1
"276",57,74,1,0
"277",38,71,0,0
"278",49,88,1,0
"279",52,38,1,1
"280",50,36,1,1
"281",59,88,1,1
"282",35,61,0,0
"283",37,70,1,0
"284",52,21,1,1
"285",48,141,0,0
"286",37,93,1,1
"287",37,62,0,1
"288",48,138,1,1
"289",41,79,0,0
"290",37,78,1,1
"291",39,134,1,0
"292",49,89,1,0
"293",55,39,1,0
"294",37,77,0,0
"295",35,57,0,1
"296",36,63,0,1
"297",42,73,1,0
"298",43,112,1,1
"299",45,79,0,0
"300",46,117,1,0
"301",58,38,1,1
"302",48,74,1,0
"303",37,137,1,1
"304",37,79,1,0
"305",40,60,0,1
"306",42,54,0,0
"307",51,134,0,1
"308",47,113,1,1
"309",36,125,1,0
"310",38,50,0,1
"311",42,70,0,1
"312",39,96,1,0
"313",38,50,0,1
"314",49,141,1,1
"315",39,79,0,1
"316",39,75,1,1
"317",54,104,1,1
"318",35,55,0,0
"319",45,32,1,0
"320",36,60,0,0
"321",52,138,1,1
"322",53,82,1,1
"323",41,52,0,0
"324",48,30,1,1
"325",48,131,1,1
"326",41,60,0,1
"327",41,72,0,0
"328",42,75,0,1
"329",36,118,1,0
"330",47,107,1,1
"331",38,51,0,0
"332",48,119,1,1
"333",42,65,0,0
"334",40,65,0,0
"335",57,60,1,0
"336",36,54,0,1
"337",58,144,1,0
"338",35,79,0,0
"339",38,55,0,1
"340",39,122,1,0
"341",53,104,1,1
"342",35,75,0,0
"343",38,65,0,1
"344",47,51,1,1
"345",47,105,1,0
"346",41,63,0,1
"347",53,72,1,0
"348",54,108,1,1
"349",39,77,0,0
"350",38,61,0,0
"351",38,113,1,1
"352",37,75,0,0
"353",42,90,1,1
"354",37,57,0,1
"355",36,99,1,0
"356",60,34,1,0
"357",54,70,1,0
"358",41,72,0,1
"359",40,71,1,0
"360",42,54,0,0
"361",43,129,1,0
"362",53,34,1,1
"363",47,50,1,1
"364",42,79,0,1
"365",42,104,1,0
"366",59,29,1,1
"367",58,47,1,1
"368",46,88,1,0
"369",38,71,0,0
"370",54,26,1,1
"371",60,46,1,1
"372",60,83,1,0
"373",39,73,0,1
"374",59,130,1,0
"375",37,80,0,1
"376",46,32,1,1
"377",46,74,0,1
"378",42,53,0,1
"379",41,87,1,0
"380",58,23,1,1
"381",42,64,0,0
"382",48,33,1,0
"383",44,139,1,1
"384",49,28,1,0
"385",57,33,1,1
"386",56,60,1,0
"387",49,39,1,1
"388",39,71,0,0
"389",47,34,1,0
"390",48,35,1,1
"391",48,33,1,0
"392",47,23,1,0
"393",45,45,1,1
"394",60,42,1,0
"395",39,59,0,1
"396",46,41,1,1
"397",51,23,1,0
"398",50,20,1,1
"399",36,33,0,0
"400",49,36,1,1
